epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.833,1.05891,2.12815,1.542,0.00449,0.5,0.18518,0.06433,2.44234,4.05907,2.9446,0.000463102,0.000463102,0.000463102
2,711.107,0.74718,1.19347,1.27035,0.00376,0.5,0.03762,0.01763,1.93396,4.88707,2.73621,0.000920834,0.000920834,0.000920834
3,1022.97,0.72473,1.1012,1.25315,0.00365,0.475,0.0156,0.00868,1.81792,7.4664,2.45796,0.0013597,0.0013597,0.0013597
4,1483.13,0.68514,0.99822,1.23413,0.00394,0.5,0.01998,0.00794,1.92609,4.9836,2.67729,0.00134412,0.00134412,0.00134412
5,2047.67,0.63474,0.91412,1.19777,0.00432,0.5,0.0873,0.03471,1.77277,5.88729,2.67168,0.00131582,0.00131582,0.00131582
6,2594.61,0.66848,0.88217,1.21494,0.00423,0.45,0.03075,0.01943,1.8058,4.62654,2.40019,0.00128753,0.00128753,0.00128753
7,3175.47,0.59058,0.7392,1.13706,0.00444,0.5,0.09757,0.04842,1.84839,4.31405,2.56409,0.00125923,0.00125923,0.00125923
8,3747.02,0.58638,0.73962,1.15513,0.00521,0.5,0.28134,0.19141,1.97549,4.94501,2.72582,0.00123094,0.00123094,0.00123094
9,4373.13,0.57061,0.67271,1.13899,0.00634,0.5,0.02973,0.01405,2.03672,5.10286,2.94764,0.00120265,0.00120265,0.00120265
10,4804.04,0.53278,0.62019,1.11189,0.01265,0.425,0.03175,0.01407,1.83396,5.77707,2.5432,0.00117435,0.00117435,0.00117435
11,5121.66,0.51171,0.61372,1.09551,0.01511,0.5,0.03201,0.01921,1.71042,5.71581,2.36483,0.00114606,0.00114606,0.00114606
12,5429.23,0.51123,0.59096,1.09832,0.03755,0.475,0.23893,0.12481,1.98554,5.3702,2.82279,0.00111776,0.00111776,0.00111776
13,5737.57,0.50701,0.56397,1.08913,0.05814,0.125,0.04011,0.02033,1.58176,5.38192,2.18946,0.00108947,0.00108947,0.00108947
14,6045.52,0.50031,0.56399,1.07955,0.06557,0.2,0.06068,0.03457,1.64239,4.77261,2.20296,0.00106118,0.00106118,0.00106118
15,6353.66,0.48933,0.54022,1.08022,0.06557,0.2,0.06068,0.03457,1.76819,5.08518,2.42886,0.00103288,0.00103288,0.00103288
16,6659.68,0.47957,0.51251,1.06889,0.32609,0.375,0.33218,0.19865,1.83088,5.37007,2.58871,0.00100459,0.00100459,0.00100459
17,6967.03,0.46413,0.49493,1.06147,0.14516,0.45,0.34383,0.12515,1.82565,5.12987,2.32023,0.000976293,0.000976293,0.000976293
18,7275.4,0.47971,0.51648,1.07603,0.09259,0.375,0.13271,0.06623,1.7302,6.10787,2.31315,0.000947999,0.000947999,0.000947999
19,7584.46,0.44839,0.45922,1.0495,0.5,0.175,0.3375,0.23352,1.70528,5.33872,2.26102,0.000919704,0.000919704,0.000919704
20,7892.8,0.45449,0.47409,1.06121,0.5,0.175,0.3375,0.23352,1.70291,5.56451,2.14433,0.00089141,0.00089141,0.00089141
21,8201.43,0.45089,0.45285,1.04215,0.5,0.175,0.3375,0.23352,1.87862,5.39211,2.62323,0.000863116,0.000863116,0.000863116
22,8517.86,0.42895,0.45206,1.04121,0.5,0.1,0.3,0.06792,1.85707,5.46262,2.4226,0.000834822,0.000834822,0.000834822
23,8843.16,0.42507,0.43294,1.02845,0.5,0.1,0.3,0.06792,1.81542,5.47767,2.37904,0.000806528,0.000806528,0.000806528
